reclon,reclat,
-78.7909516560721,42.9863605681507,
-78.7906136977363,42.9864233546433,
-78.7904098498511,42.9867686792066,
-78.7900504338431,42.9870786848324,
-78.7897446620154,42.9872788142162,
-78.7885537612128,42.9872827383153,
-78.7885162102866,42.988197046565,
-78.7890365588355,42.988197046565,
-78.7896802889991,42.9882716032904,
-78.7900933491874,42.988436412573,
-78.7905385958838,42.9886365375363,
-78.7898246213855,42.9894646032893,
-78.7889233991565,42.9901120532193,
-78.7880168125095,42.9907673440826,
-78.7874320909442,42.9919013339204,
-78.7872014209689,42.9932393365436,
-78.7867826925436,42.9943041751827,
-78.7863320814291,42.9947985531774,
-78.7856990801016,42.9953870932237,
-78.7854952322165,42.9958736154061,
-78.7855703340689,42.9964464511028,
-78.7860960470358,42.9967995663375,
-78.7869328962485,42.9969565057905,
-78.787576626412,42.9967995663375,
-78.7882096277395,42.9965327683476,
-78.7887138830343,42.9961325691907,
-78.7899691568533,42.9959206979936,
-78.7906485470744,42.9958806833574,
-78.7906270894023,42.9963985897756,
-78.7903159531566,42.9968458690786,
-78.7895220192881,42.9972460635901,
-78.7891157467042,42.9977619497672,
-78.7890506598015,42.998082706746,
-78.7877202841302,42.9980630896959,
-78.7877471062203,42.9985535140711,
-78.7877631994744,42.9987732229216,
-78.7881118866463,42.9987653761905,
-78.7886375996133,42.9987536060919,
-78.788954100277,42.9991027847243,
-78.7889571367314,42.9997360401554,
-78.7888552127888,42.999834122673,
-78.7889437256863,42.9999067036353,
-78.7889437256863,43.0001479856774,
-78.7884193529545,43.0005499508605,
-78.7883496155201,43.0007657293343,
-78.787133627931,43.0007501707165,
-78.7859212694563,43.0007501707165,
-78.7858998117842,43.0010601058223,
-78.7859159050383,43.0012680360929,
-78.7861841259398,43.0012209576027,
-78.7858718633652,43.0014066523988,
-78.7861733971037,43.0010091039503,
-78.7860822019972,43.0007619404327,
-78.7868868647017,43.0007658636709,
-78.7878363666929,43.0007854798581,
-78.7884961901106,43.0007933263313,
-78.7885981140532,43.0004480805646,
-78.7887268600859,43.0002048380641,
-78.7888544797897,43.0000452879013,
-78.7888687629813,42.9999543246816,
-78.7889250893706,42.9994286015859,
-78.7888929028624,42.9990284212889,
-78.7883251230473,42.9987734203228,
-78.787917427277,42.9988205006884,
-78.7874131719822,42.9987577268596,
-78.787370256638,42.9981927595143,
-78.787740401482,42.9982398403248,
-78.7877295937812,42.9980367136262,
-78.789382353711,42.9980050890202,
-78.7893716248749,42.9976676744586,
-78.7896613034486,42.9973812629699,
-78.7900582703828,42.9971772430132,
-78.7904445084809,42.996988916298,
-78.790820017743,42.9965141734754,
-78.7908736619233,42.9958157848056,
